spinepose_angle,surface_curvature,angle_diff,trunk_lean,confidence,curvature_variance,spinepose_angle_smoothed,video_label
7.4329310257482835,3.7533944534118566,3.679536572336427,1.9007270433390746,1.0,0.05330864669556453,7.4329310257482835,Normal Posture
7.290994538842733,4.701190403511732,2.5898041353310006,0.7313042123242981,1.0,0.43813722268784283,7.290994538842733,Normal Posture
6.835597213588207,4.747350263059359,2.0882469505288475,-0.8437753266825028,1.0,0.4468805502933761,6.835597213588207,Normal Posture
6.066739049984697,4.87325772946322,1.1934813205214772,-1.1517332283600477,1.0,0.4377076790288108,6.066739049984697,Normal Posture
4.5438149760858675,6.273857061998369,-1.7300420859125012,-2.2983587985873637,1.0,0.8152931668249603,4.5438149760858675,Normal Posture
3.307526548634046,7.435308923967254,-4.127782375333208,-2.469658848053804,1.0,1.4713187550594211,3.307526548634046,Normal Posture
1.8880565072237459,9.25488439203474,-7.366827884810993,-3.1429990884166976,1.0,3.557992383086684,1.8880565072237459,Normal Posture
0.9466698088795944,8.988244602970722,-8.041574794091128,-3.0687803972664813,1.0,3.4027254484880927,0.9466698088795944,Normal Posture
0.9794023372670511,9.247091636347113,-8.267689299080061,-2.634537074738795,1.0,1.7793348960808977,0.9794023372670511,Normal Posture
1.8440683072623139,9.028256427245232,-7.1841881199829185,-3.0286984849104037,1.0,0.5890755886141554,1.8440683072623139,Normal Posture
2.1789755049825037,8.92597537251114,-6.746999867528636,-2.5746156020576834,1.0,0.023232249466679067,2.1789755049825037,Normal Posture
2.4282333271658354,8.292339387966065,-5.864106060800229,-2.348419384251262,1.0,0.12864252406514098,2.4282333271658354,Normal Posture
2.4234335074600835,8.641541393465285,-6.2181078860052015,-1.5105484756466314,1.0,0.13675852831433888,2.4234335074600835,Normal Posture
2.415783172969075,7.345553994566363,-4.929770821597288,-0.10541343345906853,1.0,0.46055641191346364,2.415783172969075,Normal Posture
2.062396806431525,6.569374215636548,-4.506977409205024,0.2645472842624354,1.0,0.9548283400424447,2.062396806431525,Normal Posture
1.714053378558814,5.043904220147895,-3.329850841589081,0.37629867480533413,1.0,2.0841421734312404,1.714053378558814,Normal Posture
1.850917651102272,6.112283080685097,-4.261365429582826,0.42628978541213924,1.0,1.820601463866697,1.850917651102272,Normal Posture
2.0273588242633673,6.7725132194032085,-4.745154395139841,-0.29901450995745465,1.0,0.7446031187992344,2.0273588242633673,Normal Posture
1.6678422036541947,7.265617714941039,-5.597775511286844,-0.30859187877442207,1.0,0.7068390725511535,1.6678422036541947,Normal Posture
1.5121272571677493,7.737645799670408,-6.225518542502659,-0.6476519782544875,1.0,1.1063554524421462,1.5121272571677493,Normal Posture
1.699450079445953,8.77752056197582,-7.078070482529867,-1.046100986220166,1.0,1.014803352614898,1.699450079445953,Normal Posture
1.9296482912857904,9.489407578972761,-7.559759287686971,-1.749755051305406,1.0,1.2343448207266086,1.9296482912857904,Normal Posture
2.116887861101535,10.350856201836443,-8.233968340734908,-0.4141630474660838,1.0,1.5837868980593597,2.116887861101535,Normal Posture
2.4173629642634245,10.630280450899864,-8.212917486636439,0.0873308191883754,1.0,1.3941431300757106,2.4173629642634245,Normal Posture
3.0848390447864036,11.384501931159814,-8.299662886373412,-1.5741857850764804,1.0,1.0280828957662729,3.0848390447864036,Normal Posture
3.2047773237046107,11.002563470969458,-7.797786147264847,-2.324833987419827,1.0,0.5174626720976273,3.2047773237046107,Normal Posture
3.349320638058388,11.932890270944215,-8.583569632885826,-2.43592735022538,1.0,0.3895203655050221,3.349320638058388,Normal Posture
3.8612060247130584,11.738162795591794,-7.876956770878736,-2.4505640425522515,1.0,0.28239280988408266,3.8612060247130584,Normal Posture
4.561126557688599,11.736015637502987,-7.174889079814388,-1.506360074036812,1.0,0.13582470371641248,4.561126557688599,Normal Posture
4.601468110410028,11.45375506849716,-6.852286958087131,-0.5070888912884068,1.0,0.1307476303458249,4.601468110410028,Normal Posture
4.548281813651961,11.575604602085223,-7.027322788433262,-0.7692452612475261,1.0,0.03307347860378067,4.548281813651961,Normal Posture
4.5729516997188195,12.339075196799007,-7.766123497080187,-0.8762200779243793,1.0,0.11595115971409031,4.5729516997188195,Normal Posture
4.4549285204440805,13.403843821280011,-8.948915300835932,-0.5693220684151794,1.0,0.6455648904587166,4.4549285204440805,Normal Posture
3.854320969397764,13.841397721536541,-9.987076752138778,-0.8193259374648806,1.0,1.1471822840072528,3.854320969397764,Normal Posture
3.2828419661422066,13.659646277781677,-10.376804311639471,-0.838774982498835,1.0,0.9413464614708271,3.2828419661422066,Normal Posture
2.96682762479824,11.800968843685114,-8.834141218886874,-0.616351201645928,1.0,0.7950666761140264,2.96682762479824,Normal Posture
2.434350632053546,10.675284844902025,-8.24093421284848,-1.5189019266939416,1.0,1.906002218270896,2.434350632053546,Normal Posture
2.066395258493844,9.43697233313431,-7.370577074640466,-0.6372862213405307,1.0,3.6100374697583018,2.066395258493844,Normal Posture
2.7544151116801094,8.481509316991263,-5.727094205311153,-0.5524778931619551,1.0,4.106930331441787,2.7544151116801094,Normal Posture
